Date,Opp,UIC Score,Opp Score,UIC FG,Opp FG,UIC 3P,Opp 3P,UIC TRB,Opp TRB,UIC AST,Opp AST
11/13/2015,San Francisco,75,78,28,24,8,8,36,42,17,15
11/17/2015,Western Illinois,57,84,15,30,3,5,40,42,6,16
11/24/2015,Roosevelt,96,58,35,22,1,5,52,23,,15
11/28/2015,Drake,62,83,23,31,4,10,30,34,5,18
12/2/2015,DePaul,55,82,20,29,2,,31,36,12,19
12/5/2015,UCF,58,88,22,26,4,7,43,32,10,14
12/12/2015,Illinois,79,83,,25,9,9,38,25,18,18
12/16/2015,Illinois State,60,72,17,25,7,2,31,43,15,14
12/19/2015,Loyola (IL),47,64,18,20,5,4,32,29,7,9
12/22/2015,Purdue Calumet,91,72,30,26,10,8,36,,21,18
12/29/2015,Northern Illinois,65,70,20,22,4,8,30,33,18,19
1/2/2016,Valparaiso,47,75,18,25,2,8,28,39,11,12
1/8/2016,Detroit,69,87,21,26,2,4,35,32,6,10
1/10/2016,Oakland,61,86,21,25,,4,32,30,10,11
1/14/2016,Green Bay,76,78,29,29,5,4,33,40,20,19
1/16/2016,Milwaukee,62,87,21,31,4,8,29,32,11,24
1/18/2016,Cleveland State,53,70,20,23,2,9,36,37,6,15
1/22/2016,Northern Kentucky,69,82,23,25,1,9,36,34,3,14
1/24/2016,Wright State,66,80,22,29,2,9,36,25,,14
1/28/2016,Youngstown State,78,82,,29,5,14,49,37,16,21
1/30/2016,Cleveland State,72,70,21,26,4,4,35,34,13,16
2/6/2016,Valparaiso,55,73,19,28,2,7,28,40,8,20
2/11/2016,Wright State,64,59,22,21,5,6,40,30,13,14
2/13/2016,Northern Kentucky,79,77,24,27,7,9,45,30,13,16
2/16/2016,Youngstown State,91,92,38,35,6,5,60,45,12,11
2/19/2016,Detroit,72,83,24,27,4,7,34,36,9,19
2/21/2016,Oakland,63,74,24,28,3,7,42,44,12,16
2/26/2016,Green Bay,69,85,22,30,6,9,31,44,7,17
2/28/2016,Milwaukee,85,98,30,30,9,15,36,39,13,25
3/5/2016,Wright State,43,74,12,29,2,14,39,39,5,20
